YEAR,OVERALL PICK,NBA TEAM,PLAYER NAME,COLLEGE TEAM,CITY,STATE,CONFERENENCE
2012,5,SAC,Thomas Robinson,Kansas,Lawrence,KS,Big 12 Conference
2012,6,POR,Damian Lillard,Weber State,Ogden,UT,Big Sky Conference
2012,7,GSW,Harrison Barnes,UNC,Chapel Hill,NC,Atlantic Coast Conference
2012,8,TOR,Terrence Ross,Washington,Seattle,WA,Pacific-12 Conference
2012,9,DET,Andrew Drummond,UCONN,Mansfield,CT,Big East Conference
2012,10,NOH,Austin Rivers,Duke,Durham,NC,Atlantic Coast Conference
2012,11,POR,Meyers Leonard,Illinois,Champaign,IL,Big Ten Conference
2012,12,HOU,Jeremy Lamb,UCONN,Mansfield,CT,Big East Conference
2012,13,PHO,Kendall Marshall,UNC,Chapel Hill,NC,Atlantic Coast Conference
2012,14,MIL,John Henson,UNC,Chapel Hill,NC,Atlantic Coast Conference
2012,15,PHI,Maurice Harkless,St. John's,New York,NY,Big East Conference
2013,1,CLE,Anthony Bennett,UNLV,Las Vegas,NV,Mountain West Conference
2013,2,ORL,Victor Oladipo,Indiana,Bloomington,IN,Big Ten Conference
2013,3,WAS,Otto Porter Jr.,Georgetown,Washington,DC,Patriot League
2013,4,CHA,Cody Zeller,Indiana,Bloomington,IN,Big Ten Conference
2013,5,PHO,Alex Len,Maryland,College Park,MD,Big Ten Conference
2013,6,NOH,Nerlens Noel,Kentucky,Lexington,KY,Southeastern Conference
2013,7,SAC,Ben McLemore,Kansas,Lawrence,KS,Big 12 Conference
2013,8,DET,Kentavious Caldwell-Pope,Georgia,Athens,GA,Southeastern Conference
2013,9,MIN,Trey Burke,Michigan,Ann Arbor,MI,Big Ten Conference
2013,10,POR,CJ McCollum,Lehigh,Bethlehem,PA,Patriot League
2013,11,PHI,Michael Carter-Williams,Syracuse,Syracuse,NY,American Athletic Conference
2013,12,OKC,Steven Adams,Pittsburgh,Pittsburgh,PA,Atlantic Coast Conference
2013,13,DAL,Kelly Olynyk,Gonzaga,Spokane,WA,West Coast Conference
2013,14,UTA,Shabazz Muhammad,UCLA,Los Angeles,CA,Pacific-12 Conference
2013,15,MIL,Giannis Antetokounmpo,Did not Attend College in U.S.,N/A,N/A,N/A
2014,1,CLE,Andrew Wiggins,Kansas,Lawrence,KS,Big 12 Conference
